Image_Index,Page_URL,Device,Image_Alt_or_Desc,imageUrl,Displayed_Width_px,Displayed_Height_px,Natural_Width_px,Natural_Height_px,Pixelation_Issues
1,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,watch intro,https://www.simplilearn.com/ice9/banners/Indian_Institute_of_Technology_Bombay_1x-min.jpg,534,301,404,228,Yes – pixelated
2,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Synopsys,https://www.simplilearn.com/ice9/tools_covered/images.png,185,40,482,104,No
3,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Apurba Narayan Bhattacharya,https://www.simplilearn.com/ice9/course/download%20(1)%20(1).jpg,220,220,200,200,Yes – pixelated
4,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Veeresh Deshpande,https://www.simplilearn.com/ice9/Advisors/1516497016402%20(1).jpg,220,220,200,200,Yes – pixelated
5,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Shalabh Gupta,https://www.simplilearn.com/ice9/course/Shalabh-Gupta%20(1).jpg,220,220,200,200,Yes – pixelated
6,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Anil Kottantharayii,https://www.simplilearn.com/ice9/course/anilkg%20(2).jpg,220,220,200,200,Yes – pixelated
7,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Saurabh Lodha,https://www.simplilearn.com/ice9/course/slodha%20(1).jpg,220,220,200,200,Yes – pixelated
8,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Sandip Mondal,https://www.simplilearn.com/ice9/course/sandip%20(1).jpg,220,220,200,200,Yes – pixelated
9,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Pradeep R. Nair,https://www.simplilearn.com/ice9/course/prnair%20(3).jpg,220,220,200,200,Yes – pixelated
10,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof Maryam Shojaei Baghini,https://www.simplilearn.com/ice9/certificates/unnamed%20(5)%20(1).png,220,220,200,200,Yes – pixelated
11,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Rahul Singh,https://www.simplilearn.com/ice9/course/Rahul-Singh%20(1).jpg,220,220,200,200,Yes – pixelated
12,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Laxmeesha Somappa,https://www.simplilearn.com/ice9/course/1649521277711%20(1).jpg,220,220,200,200,Yes – pixelated
13,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Dipankar Saha,https://www.simplilearn.com/ice9/course/dsaha%20(1).jpg,220,220,200,200,Yes – pixelated
14,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. Swaroop Ganguly,https://www.simplilearn.com/ice9/course/pic_sg%20(1).jpg,220,220,200,200,Yes – pixelated
15,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Prof. D.K. Sharma,https://www.simplilearn.com/ice9/Advisors/prof%20sharma.png,220,220,200,200,Yes – pixelated
16,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Desktop,Professional Certificate Program in Blockchain by IIT Kanpur,https://www.simplilearn.com/ice9/banners/Thumbnail iit blockchain.jpg,358,202,404,228,No
17,https://www.simplilearn.com/applied-ai-course,Desktop,watch intro,https://www.simplilearn.com/ice9/banners/JPEG_1.jpg,534,342,640,410,No
18,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Accenture.png,79,50,95,60,No
19,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Apple.png,79,50,95,60,Yes – blurry
20,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Google.png,85,28,85,28,No
21,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/deloitte_1.png,79,50,95,60,No
22,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Dell.png,30,30,30,30,No
23,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/ds/Bosch_Manufacturing.jpg,79,50,95,60,No
24,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/oracle.png,79,50,95,60,No
25,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Cisco-Systems.png,61,32,61,32,No
26,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/Adobe.png,72,30,72,30,No
27,https://www.simplilearn.com/applied-ai-course,Desktop,Supporting Enterprises Around the Globe,https://www.simplilearn.com/ice9/logos/IBM.png,65,26,65,26,No
28,https://www.simplilearn.com/applied-ai-course,Desktop,University Certificate,https://www.simplilearn.com/ice9/pdfs/agenda/Purdue-%20New%20PGp/Purdue-NLP/Certificate_Purdue_Applied-Generative-AI-Specialization_Simplex.jpg,548,353,853,549,No
29,https://www.simplilearn.com/applied-ai-course,Desktop,Microsoft Azure Certificate,https://www.simplilearn.com/ice9/certificates/Microsoft-Learn_Certificate_Azure.jpg,528,353,815,557,No
30,https://www.simplilearn.com/applied-ai-course,Desktop,python,https://www.simplilearn.com/ice9/tools_covered/Python-Logo.png,16,9,151,45,No
31,https://www.simplilearn.com/applied-ai-course,Desktop,ChatGPT,https://www.simplilearn.com/ice9/tools_covered/chatgpt2.png,16,9,2000,588,No
32,https://www.simplilearn.com/applied-ai-course,Desktop,Open AI,https://www.simplilearn.com/ice9/tools_covered/openai.png,16,9,432,117,No
33,https://www.simplilearn.com/applied-ai-course,Desktop,Hugging Face,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/hf-logo-with-title%20(1).png,16,9,500,133,No
34,https://www.simplilearn.com/applied-ai-course,Desktop,Gemini,https://www.simplilearn.com/ice9/tools_covered/New%20Folder/Google_Gemini_logo-PNGG.png,16,9,2560,945,No
35,https://www.simplilearn.com/applied-ai-course,Desktop,Microsoft Copilot,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/microsoft-copilot.jpg,16,9,736,669,No
36,https://www.simplilearn.com/applied-ai-course,Desktop,Azure AI Studio,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/azure-ai-studio.png,16,9,600,315,No
37,https://www.simplilearn.com/applied-ai-course,Desktop,Dalle.2,https://www.simplilearn.com/ice9/tools_covered/dalle.2.jpg,16,9,512,156,No
38,https://www.simplilearn.com/applied-ai-course,Desktop,Langchain,https://www.simplilearn.com/ice9/tools_covered/langchain.png,16,9,512,106,No
39,https://www.simplilearn.com/applied-ai-course,Desktop,Gradio,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/Gradio.png,16,9,366,138,No
40,https://www.simplilearn.com/applied-ai-course,Desktop,Streamlit,https://www.simplilearn.com/ice9/tools_covered/streamlit.png,16,9,512,166,No
41,https://www.simplilearn.com/applied-ai-course,Desktop,Stability AI,https://www.simplilearn.com/ice9/tools_covered/New%20Folder/stability%20ai-png.png,16,9,772,151,No
42,https://www.simplilearn.com/applied-ai-course,Desktop,JUPYTER,https://www.simplilearn.com/ice9/tools_covered/jupyter.jpg,16,9,266,321,No
43,https://www.simplilearn.com/applied-ai-course,Desktop,Ricardo Calix,https://www.simplilearn.com/ice9/program_directors/Purdue/Ricardo_Calix.png,16,9,200,200,No
44,https://www.simplilearn.com/applied-ai-course,Desktop,Armando Galeana,https://www.simplilearn.com/ice9/program_directors/Purdue/Armando.jpg,16,9,200,200,No
45,https://www.simplilearn.com/applied-ai-course,Desktop,Amitendra Srivastava,https://www.simplilearn.com/ice9/program_directors/Purdue/Amintendra-nn.jpg,16,9,200,200,No
46,https://www.simplilearn.com/applied-ai-course,Desktop,Raghav Goel,https://www.simplilearn.com/ice9/program_directors/Purdue/Raghav.jpg,16,9,200,200,No
47,https://www.simplilearn.com/applied-ai-course,Desktop,Bassel Dakhlallah,https://www.simplilearn.com/ice9/assets/Bassel.jpg,16,9,124,154,No
48,https://www.simplilearn.com/applied-ai-course,Desktop,Sohail Hosseini,https://www.simplilearn.com/ice9/assets/Sohail.jpg,16,9,124,154,No
49,https://www.simplilearn.com/applied-ai-course,Desktop,Group Mentoring & Networking,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-1.jpg,135,76,444,250,No
50,https://www.simplilearn.com/applied-ai-course,Desktop,Interview Prep & Assessment,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-2_1.jpg,135,76,222,125,No
51,https://www.simplilearn.com/applied-ai-course,Desktop,AI-Powered Profile Optimization,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-2.jpg,135,76,444,250,No
52,https://www.simplilearn.com/applied-ai-course,Desktop,Mock Interviews & Mentoring,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-4.jpg,135,76,446,250,No
53,https://www.simplilearn.com/applied-ai-course,Desktop,Netflix,https://www.simplilearn.com/ice9/logos/Netflix.png,149,40,149,40,No
54,https://www.simplilearn.com/applied-ai-course,Desktop,Amazon,https://www.simplilearn.com/ice9/logos/Amazon.png,99,30,99,30,No
55,https://www.simplilearn.com/applied-ai-course,Desktop,Google,https://www.simplilearn.com/ice9/logos/Google.png,85,28,85,28,No
56,https://www.simplilearn.com/applied-ai-course,Desktop,Bosch,https://www.simplilearn.com/ice9/logos/ds/Bosch_Manufacturing.jpg,95,60,95,60,No
57,https://www.simplilearn.com/applied-ai-course,Desktop,Microsoft,https://www.simplilearn.com/ice9/logos/Microsoft.png,103,22,103,22,No
58,https://www.simplilearn.com/applied-ai-course,Desktop,Apple,https://www.simplilearn.com/ice9/logos/Apple.png,95,60,95,60,Yes – blurry
59,https://www.simplilearn.com/applied-ai-course,Desktop,Linkedin,https://www.simplilearn.com/ice9/logos/LinkedIn.png,98,26,98,26,No
60,https://www.simplilearn.com/applied-ai-course,Desktop,EY,https://www.simplilearn.com/ice9/logos/EY.png,84,40,84,40,No
61,https://www.simplilearn.com/applied-ai-course,Desktop,Accenture,https://www.simplilearn.com/ice9/logos/Accenture.png,95,60,95,60,No
62,https://www.simplilearn.com/applied-ai-course,Desktop,Deloitte,https://www.simplilearn.com/ice9/logos/Deloitte.png,175,60,175,60,No
63,https://www.simplilearn.com/applied-ai-course,Desktop,Facebook,https://www.simplilearn.com/ice9/logos/facebook.png,85,18,286,60,No
64,https://www.simplilearn.com/applied-ai-course,Desktop,Apple,https://www.simplilearn.com/ice9/logos/Apple.png,85,54,95,60,Yes – blurry
65,https://www.simplilearn.com/applied-ai-course,Desktop,Microsoft,https://www.simplilearn.com/ice9/logos/microsoft.png,85,24,211,60,No
66,https://www.simplilearn.com/applied-ai-course,Desktop,Netflix,https://www.simplilearn.com/ice9/logos/Netflix.png,85,23,149,40,No
67,https://www.simplilearn.com/applied-ai-course,Desktop,Amazon,https://www.simplilearn.com/ice9/logos/Amazon.png,85,26,99,30,No
68,https://www.simplilearn.com/applied-ai-course,Desktop,IBM,https://www.simplilearn.com/ice9/logos/aiml/IBM_IT.jpg,85,54,95,60,No
69,https://www.simplilearn.com/applied-ai-course,Desktop,Nvidia,https://www.simplilearn.com/ice9/logos/Nvidia.png,85,16,116,22,No
70,https://www.simplilearn.com/applied-ai-course,Desktop,BCG,https://www.simplilearn.com/ice9/logos/Boston_1.png,85,18,100,21,No
71,https://www.simplilearn.com/applied-ai-course,Desktop,Bosch,https://www.simplilearn.com/ice9/logos/ds/Bosch_Manufacturing.jpg,85,54,95,60,No
72,https://www.simplilearn.com/applied-ai-course,Desktop,KPMG,https://www.simplilearn.com/ice9/logos/KPMG.png,75,30,75,30,No
73,https://www.simplilearn.com/applied-ai-course,Desktop,Deloitte,https://www.simplilearn.com/ice9/logos/deloitte_1.png,85,54,95,60,No
74,https://www.simplilearn.com/applied-ai-course,Desktop,LinkedIn,https://www.simplilearn.com/ice9/logos/linkedin_1.png,85,23,93,25,No
75,https://www.simplilearn.com/applied-ai-course,Desktop,All State,https://www.simplilearn.com/ice9/logos/allstate-logo_11zon_11zon.png,64,40,96,60,No
76,https://www.simplilearn.com/applied-ai-course,Desktop,Debarun Ghosh,https://www.simplilearn.com/ice9/free_resources_article_thumb/Debarunn.Gh.jpeg,16,9,295,293,No
77,https://www.simplilearn.com/applied-ai-course,Desktop,Yashwant Katari,https://www.simplilearn.com/ice9/free_resources_article_thumb/Suhas_Testimonial_Thumb/Yashwant.katari_11zon%20%281%29.jpg,16,9,624,624,No
78,https://www.simplilearn.com/applied-ai-course,Desktop,Ashif Khan,https://www.simplilearn.com/ice9/assets/Testimonial-GenAI/Ashif-K.jpg,16,9,200,200,No
79,https://www.simplilearn.com/applied-ai-course,Desktop,Ravindar Gowrigari,https://www.simplilearn.com/ice9/free_resources_article_thumb/ravindar.jpg,16,9,200,200,No
80,https://www.simplilearn.com/applied-ai-course,Desktop,William Harrison,https://www.simplilearn.com/ice9/free_resources_article_thumb/william%20harrison-%20linkedin.jpg,16,9,200,200,No
81,https://www.simplilearn.com/applied-ai-course,Desktop,Venkata Ramana Pinnam,https://www.simplilearn.com/ice9/free_resources_article_thumb/ramana-%20linkedin-min.jpg,16,9,800,800,No
82,https://www.simplilearn.com/applied-ai-course,Desktop,James Devin Rodgers,https://www.simplilearn.com/ice9/free_resources_article_thumb/james-%20linkedin.jpg,16,9,200,200,No
83,https://www.simplilearn.com/applied-ai-course,Desktop,Biplab Datta,https://www.simplilearn.com/ice9/free_resources_article_thumb/biplap-%20linkedin.jpg,16,9,200,200,No
84,https://www.simplilearn.com/applied-ai-course,Desktop,Mike Parker,https://www.simplilearn.com/ice9/free_resources_article_thumb/mike-%20linkedin.jpg,16,9,390,390,No
85,https://www.simplilearn.com/iit-bombay-epgd-in-integrated-circuit-design-course,Mobile,watch intro,https://www.simplilearn.com/ice9/banners/Indian_Institute_of_Technology_Bombay_1x-min.jpg,308,179,404,228,No
